n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,15,1,100000,15000,0.3,0.95,1e-06,1,0.34522154749793743,0.2633209313454059,1.476,1.924
2,15,1,100000,15000,0.3,0.95,1e-06,2,0.349261410328856,0.263778539385219,1.476,1.924
2,15,1,100000,15000,0.3,0.95,1e-06,3,0.3520321603855011,0.2640923910072418,1.476,1.924
2,15,1,100000,15000,0.3,0.95,1e-06,4,0.3472794805151634,0.263554039926933,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,0,0.3262229986604377,0.26116890563149203,1.476,1.924
4,5,1,100000,15000,0.5,0.95,2e-05,0,0.08104312240677766,0.09127583788669986,1.332,2.056
4,5,1,100000,15000,0.5,0.95,2e-05,1,0.0689917954326711,0.0898355646888292,1.332,2.056
4,5,1,100000,15000,0.5,0.95,2e-05,2,0.07224747453317758,0.09022465606104092,1.332,2.056
4,5,1,100000,15000,0.5,0.95,2e-05,3,0.08015944753748187,0.09117022850172399,1.332,2.056
2,10,2,100000,15000,0.3,0.95,1e-06,2,0.3233104715423177,0.2608389944733148,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,1,0.32121673694675007,0.2606018305337786,1.476,1.924
4,5,1,100000,15000,0.5,0.95,2e-05,4,0.06641563034334436,0.08952768311367822,1.332,2.056
2,10,2,100000,15000,0.3,0.95,1e-06,3,0.3259895415307877,0.26114246120405704,1.476,1.924
2,10,2,100000,15000,0.3,0.95,1e-06,4,0.322528482152517,0.2607504160619186,1.476,1.924
2,10,2,100000,15000,0.3,0.95,2e-05,0,0.21240021016887464,0.24827583838944367,1.476,1.924
2,10,2,100000,15000,0.3,0.95,2e-05,1,0.21099618425207642,0.2481167999333071,1.476,1.924
2,10,2,100000,15000,0.3,0.95,2e-05,2,0.19954653267508857,0.2468198616871397,1.476,1.924
2,10,2,100000,15000,0.3,0.95,2e-05,3,0.21234196510778597,0.24826924078716134,1.476,1.924
2,10,2,100000,15000,0.3,0.95,2e-05,4,0.2246441446187913,0.24966274756872203,1.476,1.924
3,15,1,100000,15000,0.5,0.95,4e-06,0,0.2907208386733322,0.15831564692949301,1.3719999999999999,2.0
2,15,2,100000,15000,0.05,0.95,4e-06,0,0.262675667377027,0.25397069843460485,1.476,1.924
3,15,1,100000,15000,0.5,0.95,4e-06,1,0.2911601372983097,0.1583724324836611,1.3719999999999999,2.0
3,15,1,100000,15000,0.5,0.95,4e-06,2,0.2875728584359417,0.1579087260057145,1.3719999999999999,2.0
3,15,1,100000,15000,0.5,0.95,4e-06,4,0.28390480720761124,0.1574345785582272,1.3719999999999999,2.0
2,15,2,100000,15000,0.05,0.95,4e-06,1,0.2629560414207084,0.25400245728927723,1.476,1.924
3,15,1,100000,15000,0.5,0.95,4e-06,3,0.287306196075683,0.15787425612795464,1.3719999999999999,2.0
2,15,2,100000,15000,0.05,0.95,4e-06,2,0.26125097693785726,0.25380931924266315,1.476,1.924
2,15,2,100000,15000,0.05,0.95,4e-06,3,0.2636058865321979,0.2540760673003338,1.476,1.924
2,15,2,100000,15000,0.05,0.95,4e-06,4,0.2596960956774132,0.2536331929246386,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,0,0.2530379875768451,0.25287900796235563,1.476,1.924
3,20,1,100000,15000,0.05,0.95,0.0001,3,-0.01025898842030882,0.11940975170660457,1.3719999999999999,2.0
3,20,1,100000,15000,0.05,0.95,0.0001,2,0.3314128199687792,0.1635756604525915,1.3719999999999999,2.0
3,20,1,100000,15000,0.05,0.95,0.0001,0,0.15088224528835023,0.14023953294242655,1.3719999999999999,2.0
3,20,1,100000,15000,0.05,0.95,0.0001,1,0.2610088308321985,0.15447495011239656,1.3719999999999999,2.0
3,20,1,100000,15000,0.05,0.95,0.0001,4,-0.016374870207596082,0.1186191875737541,1.3719999999999999,2.0
2,5,1,100000,15000,0.5,0.95,1e-06,1,0.24715005868319057,0.25221206363470094,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,2,0.25452620465381265,0.25304758301747765,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,3,0.25681592530238595,0.25330694691708683,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,1,0.3467096026258603,0.26348948805604744,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,2,0.3460980822396207,0.2634202192078303,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,4,0.25015011940742754,0.2525518900012873,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,0,0.34691665105535574,0.2635129410864926,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,3,0.3459406712302713,0.26340238876495436,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,4,0.3292846750370645,0.26151571139789764,1.476,1.924
